VT_1,VT_2,VT_3,VT_4,VT_5,VT_6,VT_7,VT_8,VT_9,VT_10,VT_11,VT_12,VT_13,VT_14,VT_15,VT_16,VT_17,VT_18,VT_19,VT_20,VT_21,VT_22,VT_23,VT_24,VT_25,VT_26,VT_27,VT_28,VT_29,VT_30,VT_31,VT_32,ZS,longitude,latitude,BLD_HEIGHT,X,Y,MNT
-1.24731,-1.24731,-1.15485,0.0852,0.85479,1.13857,1.06456,0.61526,0.30254,-0.17082,-0.89933,-1.92995,-2.89279,-1.68112,-0.49495,-1.40631,-1.60798,2.01336,3.14331,4.08091,4.78158,4.5967,4.6111,4.61091,4.89942,4.97199,3.74947,1.2626,-1.30501,-2.5869,-2.66504,-2.66504,44.29843,2.35137,48.86121,20.29333,652412.335,6862548.352,35.90000
-0.97704,-0.97704,-1.10124,0.05266,0.75405,1.07838,1.02812,0.60637,0.3031,-0.1512,-0.90459,-1.91119,-2.86793,-1.71892,-0.51025,-1.41589,-1.60743,1.92162,3.18045,4.07304,4.7304,4.61158,4.62314,4.62256,4.90922,4.9493,3.73209,1.25505,-1.29045,-2.58777,-2.68291,-2.68291,43.49345,2.3599,48.86119,15.9525,653038.119,6862541.021,36.59000
-0.54051,-0.54051,-1.02931,0.08685,0.68973,0.97429,0.98326,0.5654,0.27072,-0.12112,-0.94399,-1.87516,-2.79693,-1.69705,-0.4924,-1.41736,-1.61288,1.96346,3.21356,4.07281,4.68624,4.61627,4.61055,4.6414,4.93127,4.92699,3.71281,1.25232,-1.28002,-2.59281,-2.69901,-2.69901,44.00982,2.36844,48.86118,17.22167,653664.646,6862534.864,34.79000
-0.43808,-0.43808,-1.07803,0.16801,0.65102,0.93827,0.96344,0.54824,0.22113,-0.11615,-1.01406,-1.88424,-2.75493,-1.63314,-0.46967,-1.42826,-1.56216,2.04842,3.24401,4.0229,4.6753,4.60875,4.58486,4.65772,4.94469,4.92057,3.68813,1.24107,-1.27935,-2.59753,-2.71565,-2.71565,45.43811,2.37697,48.86117,15.69,654290.441,6862528.781,40.50000
-1.29449,-1.29449,-0.95713,0.43107,0.94045,1.18813,1.08248,0.93044,0.22496,-0.03414,-1.09454,-1.86089,-2.70385,-1.3988,-0.66964,-1.36025,-1.5884,2.08985,3.16844,4.23769,4.78353,4.47416,4.59821,4.62449,5.00659,5.04415,3.7835,1.21705,-1.35111,-2.52132,-2.59717,-2.59717,42.99163,2.30868,48.85564,19.85167,649274.978,6861955.593,37.90000
-1.16128,-1.16128,-1.0462,0.35727,0.91252,1.22938,1.07573,0.86721,0.19912,-0.10018,-1.22458,-1.76891,-2.73684,-1.46621,-0.61079,-1.36053,-1.63706,2.17579,3.16389,4.15295,4.81176,4.53521,4.61408,4.61483,4.96853,5.01537,3.76703,1.23993,-1.34086,-2.54541,-2.61051,-2.61051,43.87546,2.31721,48.85563,15.29333,649900.834,6861949.035,38.20000
-1.18903,-1.18903,-1.11444,0.34506,0.89458,1.30661,1.0707,0.84079,0.2072,-0.0687,-1.32489,-1.74968,-2.76198,-1.46567,-0.57621,-1.34642,-1.64281,2.17562,3.14303,4.0909,4.81456,4.58794,4.62885,4.6186,4.93456,4.99368,3.76622,1.25088,-1.33234,-2.56655,-2.62431,-2.62431,46.60595,2.32575,48.85562,19.46167,650527.425,6861942.539,34.59000
-1.14617,-1.14617,-1.11239,0.25938,0.8112,1.29787,1.02107,0.72799,0.20062,0.02535,-1.2993,-1.73751,-2.7982,-1.48122,-0.55669,-1.32485,-1.64777,2.09149,3.12583,4.06759,4.77675,4.62194,4.63375,4.6243,4.92443,4.96852,3.7547,1.25459,-1.32784,-2.57948,-2.6402,-2.6402,48.00446,2.33428,48.85561,18.82667,651153.283,6861936.116,33.40000
-1.08464,-1.08464,-0.93003,0.27923,0.77499,1.31889,1.00394,0.6658,0.21041,0.04628,-1.21313,-1.83566,-2.87311,-1.56796,-0.52246,-1.32826,-1.63688,2.04417,3.13214,4.0577,4.73443,4.6287,4.63823,4.63534,4.91165,4.94838,3.7528,1.25104,-1.31914,-2.58684,-2.65748,-2.65748,47.76986,2.34282,48.8556,19.615,651779.875,6861929.755,34.20000
-0.86927,-0.86927,-0.93221,0.0337,0.611,1.25608,0.97102,0.60166,0.24985,0.02019,-1.13261,-1.88445,-2.83701,-1.64156,-0.50201,-1.33115,-1.60178,1.93523,3.15341,4.05897,4.72802,4.62252,4.65091,4.64606,4.90066,4.94105,3.72897,1.24854,-1.30991,-2.59139,-2.67709,-2.67709,42.87384,2.35135,48.85559,18.92667,652405.735,6861923.468,30.30000
