longitude,latitude,ZS,BLD_HEIGHT,X,Y
2.219088554382320,48.917449951171903,37.875290000000000,999.000000000000000,642769.455,6868889.684
2.227633237838750,48.917449951171903,38.538960000000003,6.828330000000000,643395.648,6868883.525
2.236177921295170,48.917446136474602,39.878900000000002,6.555000000000000,644021.837,6868877.009
2.244722604751590,48.917446136474602,40.996099999999998,7.451670000000000,644648.031,6868870.986
2.253267049789430,48.917442321777301,40.853569999999998,9.227499999999999,645274.205,6868864.606
2.261811733245850,48.917438507080099,39.940260000000002,9.150000000000000,645900.397,6868858.293
2.270356416702270,48.917430877685497,37.222239999999999,10.527500000000000,646526.585,6868851.625
2.278900861740110,48.917427062988303,33.663469999999997,9.008330000000001,647152.761,6868845.448
2.287445545196530,48.917419433593800,32.637500000000003,10.199999999999999,647778.951,6868838.915
2.295989990234380,48.917415618896499,31.183119999999999,10.093330000000000,648405.128,6868832.874
2.304534673690800,48.917407989502003,30.169160000000002,10.734999999999999,649031.319,6868826.476
2.313079357147220,48.917400360107401,29.567049999999998,9.796670000000001,649657.512,6868820.146
2.321623802185060,48.917392730712898,31.585709999999999,9.945000000000000,650283.687,6868813.884
2.330168485641480,48.917381286621101,37.363799999999998,8.925000000000001,650909.878,6868807.266
2.338713169097900,48.917373657226598,37.613309999999998,7.137500000000000,651536.072,6868801.139
2.347257614135740,48.917362213134801,37.904870000000003,8.723330000000001,652162.247,6868794.656
2.355802297592160,48.917350769042997,38.119639999999997,8.650000000000000,652788.439,6868788.241
2.364346742630000,48.917339324951200,37.842860000000002,7.831670000000000,653414.616,6868781.894
2.372891426086430,48.917327880859403,38.661040000000000,6.900000000000000,654040.810,6868775.614
2.381435871124270,48.917316436767599,40.010710000000003,8.585000000000001,654666.988,6868769.402
2.389980554580690,48.917301177978501,42.373210000000000,7.945000000000000,655293.180,6868762.833
2.398524999618530,48.917289733886697,43.729709999999997,13.525000000000000,655919.360,6868756.757
2.407069683074950,48.917274475097699,42.829059999999998,11.715000000000000,656545.554,6868750.324
2.415614128112790,48.917259216308601,43.495780000000003,10.963329999999999,657171.732,6868743.959
2.424158811569210,48.917243957519503,44.957140000000003,6.880000000000000,657797.928,6868737.662
2.432703256607060,48.917228698730497,47.093389999999999,999.000000000000000,658424.108,6868731.432
2.219086647033690,48.911834716796903,40.314190000000004,999.000000000000000,642763.140,6868265.297
2.227630376815800,48.911834716796903,37.860880000000002,8.526669999999999,643389.330,6868259.138
2.236173868179320,48.911830902099602,40.637659999999997,8.678330000000001,644015.500,6868252.622
2.244717597961430,48.911830902099602,43.082009999999997,8.608890000000001,644641.692,6868246.599
2.253261327743530,48.911827087402301,44.239879999999999,11.601670000000000,645267.881,6868240.219
2.261805057525640,48.911823272705099,43.839100000000002,9.616669999999999,645894.070,6868233.906
2.270348787307740,48.911815643310497,41.046210000000002,10.318330000000000,646520.256,6868227.238
2.278892278671270,48.911811828613303,35.377490000000002,10.997780000000001,647146.429,6868221.061
2.287436008453370,48.911804199218800,32.533929999999998,12.383330000000001,647772.617,6868214.528
2.295979738235470,48.911800384521499,31.112200000000001,11.588889999999999,648398.809,6868208.486
2.304523468017580,48.911792755127003,32.501950000000001,16.066669999999998,649024.999,6868202.089
2.313067197799680,48.911785125732401,31.766369999999998,9.276669999999999,649651.189,6868195.759
2.321610689163210,48.911777496337898,33.116669999999999,9.305000000000000,650277.362,6868189.497
2.330154418945310,48.911766052246101,37.263959999999997,9.180000000000000,650903.550,6868182.878
2.338698148727420,48.911758422851598,38.402110000000000,7.651670000000000,651529.742,6868176.751
2.347241640090940,48.911746978759801,38.526460000000000,7.805000000000000,652155.914,6868170.268
2.355785369873050,48.911735534667997,38.500300000000003,9.503330000000000,652782.105,6868163.853
2.364329099655150,48.911724090576200,39.536040000000000,8.130000000000001,653408.296,6868157.505
2.372872591018680,48.911712646484403,41.442149999999998,8.606669999999999,654034.471,6868151.225
2.381416320800780,48.911701202392599,43.054490000000001,7.163330000000000,654660.663,6868145.013
2.389960050582890,48.911685943603501,44.614579999999997,8.638330000000000,655286.854,6868138.445
2.398503541946410,48.911674499511697,45.075760000000002,10.977140000000000,655913.031,6868132.368
2.407047271728520,48.911659240722699,44.197110000000002,12.240000000000000,656539.223,6868125.935
2.415590763092040,48.911643981933601,44.725160000000002,10.021430000000001,657165.399,6868119.570
2.424134492874150,48.911628723144503,45.641069999999999,7.923330000000000,657791.592,6868113.272
2.432678222656250,48.911613464355497,50.277479999999997,999.000000000000000,658417.787,6868107.043
2.219084501266480,48.906219482421903,42.903309999999998,999.000000000000000,642756.807,6867640.913
2.227627277374270,48.906219482421903,41.781979999999997,8.490000000000000,643382.996,6867634.754
2.236170053482060,48.906215667724602,43.387689999999999,9.342499999999999,644009.180,6867628.238
2.244712829589840,48.906215667724602,44.701030000000003,8.821669999999999,644635.370,6867622.215
2.253255605697630,48.906211853027301,45.530949999999997,10.574999999999999,645261.556,6867615.835
2.261798381805420,48.906208038330099,44.832900000000002,13.060000000000000,645887.743,6867609.522
2.270341157913210,48.906200408935497,40.749969999999998,11.447500000000000,646513.927,6867602.854
2.278883934021000,48.906196594238303,33.766230000000000,12.550000000000001,647140.115,6867596.677
2.287426710128780,48.906188964843800,32.999110000000002,10.234999999999999,647766.301,6867590.143
2.295969486236570,48.906185150146499,33.431930000000001,12.681670000000000,648392.491,6867584.102
2.304512023925780,48.906177520752003,34.856659999999998,15.355000000000000,649018.660,6867577.705
2.313054800033570,48.906169891357401,36.043830000000000,16.001670000000001,649644.848,6867571.374
2.321597576141360,48.906162261962898,39.456249999999997,10.757500000000000,650271.036,6867565.112
2.330140352249150,48.906150817871101,42.308059999999998,8.726670000000000,650897.222,6867558.493
2.338683128356930,48.906143188476598,43.425809999999998,7.200000000000000,651523.412,6867552.367
2.347225904464720,48.906131744384801,42.398840000000000,8.195000000000000,652149.599,6867545.883
2.355768680572510,48.906120300292997,41.170830000000002,8.942500000000001,652775.787,6867539.468
2.364311218261720,48.906108856201200,42.476869999999998,8.946669999999999,653401.958,6867533.120
2.372853994369510,48.906097412109403,43.213200000000001,8.527500000000000,654028.148,6867526.840
2.381396770477290,48.906085968017599,45.743530000000000,11.650000000000000,654654.339,6867520.628
2.389939546585080,48.906074523925803,47.027380000000001,8.607500000000000,655280.530,6867514.483
2.398482084274290,48.906059265136697,46.524790000000003,7.816000000000000,655906.702,6867507.983
2.407024860382080,48.906044006347699,46.549920000000000,5.895000000000000,656532.891,6867501.549
2.415567636489870,48.906028747558601,49.351579999999998,8.715000000000000,657159.082,6867495.184
2.424110412597660,48.906013488769503,50.835419999999999,7.370000000000000,657785.274,6867488.886
2.432652950286860,48.905998229980497,56.523640000000000,999.000000000000000,658411.448,6867482.656
