UT_1,UT_2,UT_3,UT_4,UT_5,UT_6,UT_7,UT_8,UT_9,UT_10,UT_11,UT_12,UT_13,UT_14,UT_15,UT_16,UT_17,UT_18,UT_19,UT_20,UT_21,UT_22,UT_23,UT_24,UT_25,UT_26,UT_27,UT_28,UT_29,UT_30,UT_31,UT_32,ZS,longitude,latitude,BLD_HEIGHT,X,Y,MNT
-1.68793,-1.68793,-3.15159,-5.11687,-6.4811,-5.59158,-4.62846,-3.64361,-2.36223,-1.12614,0.72655,2.51566,2.59566,2.85042,4.53714,5.54334,3.28418,0.90799,1.12962,-0.62259,-1.48561,-1.65773,-2.05533,-2.37328,-3.22048,-4.22818,-4.84911,-5.07041,-5.29481,-5.06146,-3.87888,-3.87888,46.68999,2.33857,48.86403,20.71667,651475.893,6862869.703,34.70000
-1.66963,-1.66963,-2.96807,-5.1472,-6.43776,-5.55424,-4.60366,-3.60215,-2.34832,-1.17889,0.71425,2.52235,2.56341,2.84126,4.52483,5.55861,3.23275,0.93843,1.10899,-0.57941,-1.521,-1.72468,-2.03178,-2.38548,-3.225,-4.20388,-4.83704,-5.07625,-5.32461,-5.06519,-3.88717,-3.88717,46.81231,2.34711,48.86402,19.43111,652102.385,6862863.377,33.79000
-1.52724,-1.52724,-2.59729,-4.85442,-6.42613,-5.61778,-4.61548,-3.57199,-2.38883,-1.24541,0.70926,2.55908,2.51378,2.81345,4.56361,5.57219,3.20008,0.96102,1.0704,-0.52612,-1.54185,-1.77815,-2.07101,-2.40803,-3.19981,-4.17695,-4.81415,-5.06116,-5.36129,-5.08743,-3.8811,-3.8811,45.35238,2.35564,48.86401,17.89,652728.144,6862857.125,34.70000
-1.27806,-1.27806,-2.19622,-4.81749,-6.33609,-5.65505,-4.67665,-3.58154,-2.42147,-1.27104,0.73859,2.62399,2.46195,2.77956,4.59486,5.57461,3.2063,0.96934,1.04746,-0.51394,-1.54031,-1.75323,-2.15719,-2.45982,-3.19859,-4.15635,-4.76563,-5.01895,-5.40011,-5.14008,-3.86052,-3.86052,46.05283,2.36418,48.864,17.82333,653354.637,6862850.934,35.20000
-0.9655,-0.9655,-1.91274,-4.90995,-6.40974,-5.71753,-4.70327,-3.5565,-2.47692,-1.27555,0.80996,2.61851,2.44574,2.73132,4.65189,5.59119,3.22811,0.96428,1.02762,-0.54212,-1.52854,-1.70034,-2.2053,-2.52357,-3.22036,-4.14772,-4.73436,-4.97764,-5.42518,-5.18185,-3.85389,-3.85389,51.17166,2.37271,48.86398,16.99667,653980.388,6862843.705,39.29000
-1.75419,-1.75419,-2.77902,-4.94673,-6.54192,-5.92703,-4.85248,-3.67433,-2.33229,-1.22786,0.66808,2.59646,2.68195,2.86191,4.55991,5.37037,3.29586,1.0025,1.02623,-0.74256,-1.33051,-1.73595,-1.76267,-2.36869,-3.3412,-4.40106,-4.91081,-4.94287,-5.17973,-5.10686,-3.8383,-3.8383,41.84475,2.30442,48.85845,18.695,648965.164,6862270.784,32.59000
-1.90873,-1.90873,-2.95113,-5.06096,-6.53915,-5.87059,-4.80278,-3.73453,-2.30454,-1.20713,0.70532,2.63126,2.59769,2.88436,4.49548,5.40265,3.34856,0.97373,1.07569,-0.72316,-1.36866,-1.74223,-1.83885,-2.34123,-3.28697,-4.35527,-4.90444,-4.97988,-5.21515,-5.09701,-3.85019,-3.85019,41.19942,2.31295,48.85844,17.29167,649590.986,6862264.193,34.20000
-1.85625,-1.85625,-2.91002,-5.06027,-6.5517,-5.78297,-4.75137,-3.72083,-2.34278,-1.20806,0.73144,2.62362,2.52438,2.86239,4.48584,5.45792,3.35321,0.95979,1.11106,-0.66921,-1.39905,-1.73824,-1.94544,-2.34988,-3.2361,-4.29993,-4.88391,-5.02044,-5.25284,-5.08661,-3.86138,-3.86138,42.44286,2.32149,48.85843,19.305,650217.543,6862257.663,33.40000
-1.77459,-1.77459,-2.82837,-5.25932,-6.49096,-5.69042,-4.68718,-3.72544,-2.32342,-1.21641,0.6979,2.58329,2.50159,2.86347,4.47984,5.49484,3.31916,0.92222,1.13535,-0.61102,-1.42267,-1.71648,-2.0321,-2.37289,-3.20877,-4.26653,-4.8623,-5.05338,-5.28913,-5.0726,-3.87481,-3.87481,44.10292,2.33002,48.85842,21.065,650843.367,6862251.207,33.50000
-1.63878,-1.63878,-2.64164,-5.20274,-6.46396,-5.61507,-4.67023,-3.71802,-2.39891,-1.2037,0.70959,2.5501,2.54473,2.82572,4.51691,5.5111,3.26616,0.90397,1.10679,-0.55624,-1.45893,-1.68352,-2.07765,-2.40268,-3.22129,-4.23842,-4.83858,-5.0762,-5.3197,-5.06992,-3.88405,-3.88405,45.02787,2.33856,48.85841,22.0675,651469.925,6862244.812,27.10000
-1.42451,-1.42451,-2.28006,-5.31638,-6.42059,-5.5556,-4.61384,-3.71454,-2.44961,-1.23667,0.73094,2.55152,2.57044,2.83825,4.55631,5.51812,3.20932,0.91183,1.07585,-0.5402,-1.49038,-1.72553,-2.06028,-2.40313,-3.23707,-4.21149,-4.82101,-5.07976,-5.35151,-5.07563,-3.89024,-3.89024,44.29843,2.34709,48.8584,20.29333,652095.751,6862238.492,36.00000
-1.29907,-1.29907,-1.85935,-5.18155,-6.4612,-5.5513,-4.58014,-3.67149,-2.50669,-1.25466,0.70154,2.54124,2.59655,2.83872,4.61016,5.52616,3.15697,0.94814,1.00852,-0.50683,-1.48426,-1.79166,-2.09289,-2.41718,-3.22092,-4.17915,-4.7981,-5.06139,-5.38517,-5.10361,-3.88419,-3.88419,43.49345,2.35563,48.85839,15.9525,652722.31,6862232.233,36.00000
-1.25981,-1.25981,-1.64857,-5.27723,-6.43634,-5.51903,-4.56078,-3.63681,-2.53562,-1.24615,0.65161,2.56356,2.57829,2.83271,4.64018,5.5272,3.14384,0.97187,0.96399,-0.51935,-1.46838,-1.75838,-2.15449,-2.48471,-3.22226,-4.15262,-4.76408,-5.02211,-5.41907,-5.15402,-3.86555,-3.86555,44.00982,2.36416,48.85838,17.22167,653348.137,6862226.047,34.00000
-1.30955,-1.30955,-1.78351,-5.3884,-6.42845,-5.51327,-4.5571,-3.61454,-2.5625,-1.23838,0.66235,2.56619,2.55715,2.80383,4.65671,5.55506,3.17323,0.93212,0.98347,-0.5558,-1.49448,-1.68471,-2.1867,-2.55014,-3.24297,-4.1501,-4.72657,-4.9844,-5.44376,-5.19659,-3.86025,-3.86025,45.43811,2.3727,48.85837,15.69,653974.699,6862219.924,34.59000
-1.34807,-1.34807,-1.79831,-4.19082,-6.63858,-6.05947,-4.80173,-3.6184,-2.31388,-1.11947,0.51751,2.60783,2.76646,2.79367,4.5622,5.3525,3.25876,0.94368,1.06634,-0.71189,-1.3256,-1.78532,-1.78343,-2.35323,-3.32667,-4.3901,-4.91437,-4.96567,-5.21064,-5.10132,-3.85048,-3.85048,42.99163,2.30441,48.85283,19.85167,648958.926,6861645.899,36.29000
-1.37021,-1.37021,-1.95941,-4.63337,-6.62323,-6.04985,-4.76159,-3.66477,-2.30437,-1.07403,0.58849,2.66566,2.708,2.75157,4.52229,5.38406,3.28758,0.92443,1.11098,-0.66824,-1.35708,-1.81563,-1.87109,-2.34197,-3.27246,-4.35348,-4.90372,-4.99726,-5.24459,-5.09244,-3.8619,-3.8619,43.87546,2.31294,48.85282,15.29333,649584.815,6861639.307,38.50000
-1.56259,-1.56259,-2.14107,-4.95135,-6.61001,-5.97084,-4.74801,-3.66287,-2.32129,-1.05651,0.66009,2.69238,2.60017,2.76079,4.5017,5.41421,3.29215,0.90676,1.12726,-0.62616,-1.38502,-1.80213,-1.97202,-2.36524,-3.23877,-4.30159,-4.88677,-5.02943,-5.2807,-5.08441,-3.87178,-3.87178,46.60595,2.32147,48.85282,19.46167,650210.715,6861633.895,33.20000
-1.56833,-1.56833,-2.34169,-5.38575,-6.55694,-5.85853,-4.67833,-3.63621,-2.30338,-1.09343,0.6524,2.70818,2.50819,2.79931,4.49374,5.4425,3.26498,0.86712,1.12002,-0.60716,-1.40077,-1.76455,-2.04244,-2.39559,-3.2234,-4.26494,-4.86785,-5.05685,-5.31447,-5.07801,-3.88197,-3.88197,48.00446,2.33001,48.85281,18.82667,650837.34,6861627.432,36.09000
-1.58675,-1.58675,-2.35227,-5.48403,-6.51714,-5.79102,-4.68212,-3.6122,-2.35154,-1.13833,0.60324,2.65738,2.50846,2.82567,4.54356,5.45362,3.1971,0.87813,1.06001,-0.56929,-1.46237,-1.70283,-2.08537,-2.42783,-3.21879,-4.23799,-4.84053,-5.07364,-5.34519,-5.07916,-3.88878,-3.88878,47.76986,2.33854,48.8528,19.615,651463.232,6861621.043,35.70000
-1.42541,-1.42541,-2.08795,-5.50824,-6.45644,-5.79065,-4.70715,-3.6781,-2.45032,-1.18495,0.60635,2.59485,2.53643,2.85855,4.61512,5.45987,3.14044,0.91156,0.98041,-0.55339,-1.4886,-1.7236,-2.07759,-2.42497,-3.2305,-4.21474,-4.81212,-5.07839,-5.37733,-5.08811,-3.89283,-3.89283,42.87384,2.34707,48.85279,18.92667,652089.125,6861614.722,35.70000
-1.39106,-1.39106,-1.97635,-5.49593,-6.43021,-5.75309,-4.67766,-3.68092,-2.54124,-1.25042,0.62855,2.55621,2.61384,2.84255,4.64503,5.46814,3.10242,0.95671,0.92487,-0.52987,-1.45803,-1.78179,-2.10296,-2.43752,-3.23758,-4.18619,-4.78258,-5.05602,-5.40975,-5.12097,-3.88701,-3.88701,40.21813,2.35561,48.85278,18.25167,652715.752,6861608.462,35.79000
-1.37586,-1.37586,-1.98517,-5.56638,-6.48456,-5.68641,-4.58602,-3.61983,-2.55143,-1.22534,0.65949,2.54859,2.64131,2.8524,4.65294,5.47079,3.10174,0.99007,0.93533,-0.5537,-1.41122,-1.75422,-2.15846,-2.50542,-3.25342,-4.15973,-4.75643,-5.02034,-5.43932,-5.16861,-3.87036,-3.87036,42.26577,2.36414,48.85277,17.69111,653341.647,6861602.276,34.50000
-1.31766,-1.31766,-2.13863,-5.67347,-6.56203,-5.64004,-4.51416,-3.55977,-2.53422,-1.18676,0.68834,2.50656,2.64006,2.86457,4.65937,5.49298,3.14253,0.98539,0.97991,-0.58797,-1.44911,-1.68042,-2.1741,-2.57018,-3.27828,-4.15801,-4.73226,-4.98455,-5.45704,-5.21052,-3.86591,-3.86591,43.14012,2.37268,48.85275,16.05833,653968.267,6861595.04,35.09000
