UT_1,UT_2,UT_3,UT_4,UT_5,UT_6,UT_7,UT_8,UT_9,UT_10,UT_11,UT_12,UT_13,UT_14,UT_15,UT_16,UT_17,UT_18,UT_19,UT_20,UT_21,UT_22,UT_23,UT_24,UT_25,UT_26,UT_27,UT_28,UT_29,UT_30,UT_31,UT_32,ZS,longitude,latitude,BLD_HEIGHT,X,Y
-0.499410000000000,-0.499410000000000,-0.591350000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-0.140390000000000,0.189870000000000,0.478330000000000,0.471680000000000,0.670960000000000,0.981530000000000,1.105720000000000,0.718770000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-0.999130000000000,-0.980000000000000,-0.741500000000000,-0.803360000000000,36.092289999999998,2.219090000000000,48.920259999999999,999.000000000000000,642772.651,6869202.149
-2.456310000000000,-2.456310000000000,-2.554830000000000,-5.392500000000000,-6.194440000000000,-5.690000000000000,-4.569460000000000,-3.193530000000000,-2.034920000000000,-0.753950000000000,0.907100000000000,2.396630000000000,2.415720000000000,3.427250000000000,4.870010000000000,5.521640000000000,3.566210000000000,0.822280000000000,1.217790000000000,-0.571400000000000,-1.514210000000000,-1.477150000000000,-1.800320000000000,-2.456630000000000,-3.191620000000000,-4.169010000000000,-4.583120000000000,-4.586510000000000,-5.024720000000000,-4.931900000000000,-3.719620000000000,-3.781600000000000,36.694769999999998,2.227630000000000,48.920259999999999,999.000000000000000,643398.467,6869195.993
-2.285030000000000,-2.285030000000000,-2.425690000000000,-5.757020000000000,-6.111540000000000,-5.686280000000000,-4.632570000000000,-3.219600000000000,-2.007290000000000,-0.753040000000000,0.900430000000000,2.420220000000000,2.449420000000000,3.442530000000000,4.843480000000000,5.528010000000000,3.571460000000000,0.843550000000000,1.186000000000000,-0.595110000000000,-1.533120000000000,-1.549280000000000,-1.792320000000000,-2.457900000000000,-3.161500000000000,-4.173740000000000,-4.576450000000000,-4.571550000000000,-5.041700000000000,-4.948700000000000,-3.726940000000000,-3.789040000000000,37.066870000000002,2.236180000000000,48.920250000000003,999.000000000000000,644025.006,6869188.787
-2.314750000000000,-2.314750000000000,-2.504500000000000,-5.522810000000000,-6.298240000000000,-5.603080000000000,-4.560120000000000,-3.285110000000000,-2.014590000000000,-0.712820000000000,0.855950000000000,2.477390000000000,2.451330000000000,3.390620000000000,4.841620000000000,5.543250000000000,3.571800000000000,0.836840000000000,1.164630000000000,-0.617290000000000,-1.533180000000000,-1.577260000000000,-1.819050000000000,-2.414790000000000,-3.162530000000000,-4.195410000000000,-4.568220000000000,-4.570240000000000,-5.045950000000000,-4.963770000000000,-3.735280000000000,-3.797530000000000,36.838149999999999,2.244720000000000,48.920250000000003,999.000000000000000,644650.823,6869182.767
-2.318980000000000,-2.318980000000000,-2.444300000000000,-5.737630000000000,-6.232370000000000,-5.652950000000000,-4.605830000000000,-3.348320000000000,-1.990880000000000,-0.657930000000000,0.807860000000000,2.502800000000000,2.481980000000000,3.355410000000000,4.836460000000000,5.566410000000000,3.558390000000000,0.825690000000000,1.156910000000000,-0.636880000000000,-1.483990000000000,-1.642350000000000,-1.786410000000000,-2.421390000000000,-3.212220000000000,-4.208050000000000,-4.570090000000000,-4.576030000000000,-5.055350000000000,-4.973920000000000,-3.743740000000000,-3.806130000000000,36.072060000000000,2.253270000000000,48.920250000000003,999.000000000000000,645277.374,6869176.807
-2.370610000000000,-2.370610000000000,-2.357710000000000,-5.618220000000000,-6.363390000000000,-5.619630000000000,-4.567440000000000,-3.440180000000000,-2.011700000000000,-0.624050000000000,0.729330000000000,2.554230000000000,2.483530000000000,3.321900000000000,4.851540000000000,5.581250000000000,3.544220000000000,0.822410000000000,1.134730000000000,-0.605490000000000,-1.394850000000000,-1.662510000000000,-1.819560000000000,-2.451360000000000,-3.292070000000000,-4.240330000000000,-4.567890000000000,-4.590200000000000,-5.063850000000000,-4.985050000000000,-3.751140000000000,-3.813660000000000,35.054440000000000,2.261820000000000,48.920240000000000,999.000000000000000,645903.915,6869169.804
-2.040800000000000,-2.040800000000000,-2.231290000000000,-5.596190000000000,-6.313990000000000,-5.622080000000000,-4.592000000000000,-3.402690000000000,-2.022780000000000,-0.588390000000000,0.640190000000000,2.585970000000000,2.480830000000000,3.296390000000000,4.875460000000000,5.595220000000000,3.532530000000000,0.826180000000000,1.084360000000000,-0.579540000000000,-1.326850000000000,-1.631670000000000,-1.828280000000000,-2.488600000000000,-3.336980000000000,-4.272490000000000,-4.601390000000000,-4.620810000000000,-5.068760000000000,-4.989180000000000,-3.762280000000000,-3.824930000000000,34.064230000000002,2.270360000000000,48.920240000000000,999.000000000000000,646529.734,6869163.987
-2.260110000000000,-2.260110000000000,-1.837000000000000,-5.250290000000000,-6.416360000000000,-5.508080000000000,-4.472260000000000,-3.308210000000000,-2.005980000000000,-0.738110000000000,0.643480000000000,2.582460000000000,2.525380000000000,3.275530000000000,4.886080000000000,5.622690000000000,3.519030000000000,0.819780000000000,1.075430000000000,-0.567650000000000,-1.320800000000000,-1.532880000000000,-1.866040000000000,-2.453520000000000,-3.365040000000000,-4.299030000000000,-4.647080000000000,-4.677720000000000,-5.070950000000000,-4.980120000000000,-3.781310000000000,-3.844080000000000,33.284170000000003,2.278910000000000,48.920229999999997,999.000000000000000,647156.277,6869157.119
-2.050210000000000,-2.050210000000000,-2.045330000000000,-5.358440000000000,-6.203730000000000,-5.361170000000000,-4.360860000000000,-3.153320000000000,-2.000470000000000,-0.928260000000000,0.716320000000000,2.571860000000000,2.513780000000000,3.271740000000000,4.934750000000000,5.639260000000000,3.515830000000000,0.779400000000000,1.117530000000000,-0.559780000000000,-1.334820000000000,-1.419220000000000,-1.905580000000000,-2.432330000000000,-3.359880000000000,-4.307850000000000,-4.676180000000000,-4.726140000000000,-5.077990000000000,-4.963860000000000,-3.802790000000000,-3.865670000000000,32.424300000000002,2.287450000000000,48.920229999999997,999.000000000000000,647782.097,6869151.438
-2.377350000000000,-2.377350000000000,-1.634870000000000,-5.246130000000000,-6.329800000000000,-5.294860000000000,-4.333020000000000,-3.122830000000000,-1.945160000000000,-0.950550000000000,0.756250000000000,2.576720000000000,2.550390000000000,3.255940000000000,4.941820000000000,5.665410000000000,3.511500000000000,0.778100000000000,1.168730000000000,-0.597850000000000,-1.364150000000000,-1.360240000000000,-1.912870000000000,-2.381760000000000,-3.313650000000000,-4.303990000000000,-4.721280000000000,-4.765800000000000,-5.091730000000000,-4.952520000000000,-3.817730000000000,-3.880730000000000,31.688490000000002,2.296000000000000,48.920220000000000,999.000000000000000,648408.642,6869144.706
