WT_1,WT_2,WT_3,WT_4,WT_5,WT_6,WT_7,WT_8,WT_9,WT_10,WT_11,WT_12,WT_13,WT_14,WT_15,WT_16,WT_17,WT_18,WT_19,WT_20,WT_21,WT_22,WT_23,WT_24,WT_25,WT_26,WT_27,WT_28,WT_29,WT_30,WT_31,WT_32,ZS,longitude,latitude,BLD_HEIGHT,X,Y,MNT
-0.0021,-0.0021,0.00659,0.02099,-0.04256,-0.05147,-0.02192,-0.04387,-0.08334,-0.06956,-0.03756,-0.0735,-0.08874,-0.00336,0.02022,-0.0747,-0.03703,0.03253,-0.04302,-0.05047,-0.13025,-0.09821,-0.01497,0.07611,0.146,0.10879,0.04844,0.0019,-0.03809,0.00569,0.0124,"0",46.81231,2.35137,48.86401,19.43111,652414.893,6862859.689,35.00000
-0.00121,-0.00121,0.03469,0.03163,-0.01233,-0.03759,-0.01618,-0.02882,-0.06254,-0.04066,-0.0303,-0.05301,-0.12167,-0.05242,-0.00348,-0.06339,-0.01356,0.04081,-0.06988,-0.06852,-0.07097,-0.07367,-0.09759,0.05146,0.12833,0.11149,0.07799,0.01434,-0.06253,-0.01546,0.03054,"0",45.35238,2.35991,48.864,17.89,653041.386,6862853.465,34.70000
-0.0064,-0.0064,0.03606,0.01851,-0.01738,-0.03375,-0.01318,-0.04127,-0.08836,-0.05798,-0.04091,-0.05426,-0.08989,-0.05539,0.01047,-0.02408,0.00275,0.03528,-0.07947,-0.06595,0.00411,-0.03705,-0.09996,-0.00235,0.06834,0.07871,0.05696,0.0326,-0.04643,-0.01949,0.01571,"0",46.05283,2.36845,48.86399,17.82333,653667.879,6862847.308,35.50000
-0.01499,-0.01499,0.01972,0.03796,0.05817,0.03402,0.02898,-0.01713,-0.08914,-0.11945,-0.08034,-0.03781,-0.06376,-0.04237,-0.03333,-0.01086,-0.00706,-0.00646,-0.02569,-0.08181,0.02395,-0.00585,0.01929,-0.01927,0.00823,0.02942,0.05487,0.05673,-0.00769,-0.01257,-0.00165,"0",51.17166,2.37698,48.86398,16.99667,654293.64,6862841.225,45.59000
0.00394,0.00394,-0.02237,-0.01662,-0.01822,-0.03704,-0.04759,-0.05735,0.01325,-0.04178,-0.00665,0.00093,-0.04314,0.06879,0.06186,0.06004,0.01937,-0.05498,0.03175,-0.07071,-0.08687,-0.05162,-0.03358,0.06985,0.07488,0.04515,-0.02242,-0.05947,-0.01734,0.02465,-0.00622,"0",41.84475,2.30868,48.85844,18.695,649277.704,6862266.927,33.00000
0.00655,0.00655,-0.01659,-0.00362,0.00194,-0.02093,-0.04103,-0.05411,-0.02427,-0.05045,-0.01126,-0.02747,-0.01306,0.08981,0.12499,0.0596,-0.01092,-0.05509,0.01757,-0.05168,-0.12546,-0.12236,-0.10494,0.05333,0.10568,0.08288,0.00411,-0.05958,-0.01813,0.02514,-0.00492,"0",41.19942,2.31722,48.85844,17.29167,649904.269,6862261.475,36.90000
0.00374,0.00374,-0.01177,-0.00708,-0.00422,-0.04765,-0.06572,-0.08201,-0.04626,-0.08033,-0.01862,-0.06856,0.00188,0.07839,0.10156,-0.01036,-0.04667,-0.02385,0.02174,-0.04062,-0.12765,-0.14655,-0.13716,0.01684,0.09238,0.06974,0.01295,-0.04824,-0.01905,0.02525,-0.006,"0",42.44286,2.32575,48.85843,19.305,650530.093,6862254.985,32.20000
0.00012,0.00012,0.00714,0.01038,-0.01355,-0.05687,-0.07196,-0.09205,-0.08276,-0.07422,0.01952,-0.10995,-0.00689,0.02238,0.07785,-0.0701,-0.04,0.01721,-0.03652,-0.02759,-0.0951,-0.11697,-0.11098,-0.00434,0.06978,0.08545,0.03334,-0.03236,-0.02003,0.01304,0.0015,"0",44.10292,2.33429,48.85842,21.065,651156.651,6862248.557,29.00000
-0.00063,-0.00063,0.0076,-0.01535,-0.01606,-0.056,-0.05573,-0.09108,-0.09477,-0.09972,0.01707,-0.13361,-0.07369,-0.0523,-0.00493,-0.08871,-0.02283,0.02968,-0.04906,-0.02519,-0.0496,-0.08331,-0.00395,0.02968,0.0701,0.09486,0.03239,-0.0131,-0.0267,0.00627,0.00474,"0",45.02787,2.34282,48.85841,22.0675,651782.476,6862242.203,36.09000
-0.00237,-0.00237,0.02264,0.00611,-0.01224,-0.04353,-0.02236,-0.05611,-0.07692,-0.08025,-0.0004,-0.10958,-0.08424,-0.06515,-0.03058,-0.09756,-0.02697,0.04687,-0.07306,0.01474,-0.04518,-0.11648,-0.01907,0.06288,0.12442,0.11679,0.0518,0.0035,-0.03607,-0.00697,0.01935,"0",44.29843,2.35136,48.8584,20.29333,652409.035,6862235.91,36.20000
-0.003,-0.003,0.01334,0.00826,0.02618,-0.0125,0.00173,-0.03019,-0.05867,-0.06106,-0.00587,-0.0771,-0.0988,-0.05058,-0.03506,-0.0775,-0.00372,0.01999,-0.06581,-0.01138,-0.01016,-0.06197,-0.10222,-0.00898,0.11731,0.12263,0.07683,0.01377,-0.04896,-0.01956,0.03431,"0",43.49345,2.35989,48.85839,15.9525,653034.862,6862229.691,35.29000
-0.00214,-0.00214,-0.01223,0.02237,0.02568,-0.01419,0.0102,-0.03265,-0.05699,-0.05351,-0.00167,-0.0719,-0.09118,-0.02737,-0.00895,-0.03736,0.0033,-0.01305,-0.00431,-0.04876,-0.00436,0.00188,-0.08742,-0.02924,0.08143,0.10263,0.09097,0.0262,-0.03963,-0.02361,0.02167,"0",44.00982,2.36843,48.85838,17.22167,653661.423,6862223.533,36.40000
-0.00995,-0.00995,-0.04668,0.03029,0.0366,0.01067,0.03024,-0.02777,-0.06823,-0.07966,-0.01995,-0.05467,-0.08333,0.01009,0.01343,-0.01408,0.02965,-0.01986,0.03311,-0.07293,-0.0129,-0.01837,-0.01917,-0.01973,0.0396,0.0848,0.07416,0.05572,-0.0063,-0.01977,0.00543,"0",45.43811,2.37696,48.85836,15.69,654287.242,6862216.337,34.59000
0.00098,0.00098,0.02554,0.02183,0.0023,-0.0395,-0.06773,-0.05928,-0.03327,-0.03739,0.03426,-0.04743,-0.12971,-0.00187,0.01072,0.01071,-0.03315,-0.02615,0.01712,-0.08288,-0.13396,-0.10438,-0.05597,0.05797,0.09023,0.0389,-0.00285,-0.04065,-0.01718,0.01718,0.00145,"0",42.99163,2.30867,48.85283,19.85167,649271.508,6861643.154,37.59000
0.00047,0.00047,0.04476,0.04384,0.0135,-0.03756,-0.09083,-0.08288,-0.06317,-0.07398,0.03178,-0.02553,-0.08624,0.08087,0.06514,0.00311,-0.02454,0.01202,-0.02457,-0.0745,-0.09868,-0.09353,-0.12526,0.01472,0.09069,0.07492,0.01195,-0.03548,-0.01834,0.01526,0.00198,"0",43.87546,2.31721,48.85282,15.29333,649898.132,6861636.59,37.29000
